id,doi,notes
gill2024_crc_cms_st,10.1038/s41698-023-00488-4,CRC spatial transcriptomics study (npj Precision Oncology)
pelka2021_crc_scRNA,10.1016/j.cell.2021.08.003,Spatially organized multicellular immune hubs in human colorectal cancer (Cell)
qi2022_fap_spp1_crc,10.1038/s41467-022-29366-6,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in CRC (Nat Commun)
feng2024_tumor_stroma_boundary_crc,10.1038/s41467-024-54710-3,Tumor-stroma boundary organization and immune response in CRC (Nat Commun)
seferbekova2022_spatial_cancer_evo,10.1038/s41576-022-00553-x,Spatial biology of cancer evolution (Nat Rev Genet)
staahl2016_spatial,10.1126/science.aaf2403,Spatial transcriptomics (foundational)
rodriques2019_slideseq,10.1126/science.aaw1219,Slide-seq (high-resolution sST)
moffitt2022_spatial_landscape,10.1038/s41576-022-00515-3,Spatial profiling technologies (Nat Rev Genet)
vandereyken2023_multiomics_review,10.1038/s41576-023-00580-2,Single-cell and spatial multi-omics review (Nat Rev Genet)
amezquita2020_bioc_sc,10.1038/s41592-019-0654-x,Bioconductor single-cell analysis (Nat Methods)
stuart2019_seurat,10.1016/j.cell.2019.05.031,Seurat integration (Cell)
berglund2018_prostate_st,10.1038/s41467-018-04724-5,Cancer ST example (Nat Commun)
hu2021_spagcn,10.1038/s41592-021-01255-8,SpaGCN (Nat Methods)
dong2022_stagate,10.1038/s41467-022-29439-6,STAGATE (Nat Commun)
zhu2018_hmrf,10.1038/nbt.4260,HMRF spatial subpopulations (Nat Biotechnol)
shang2022_spatialpca,10.1038/s41467-022-34879-1,SpatialPCA (Nat Commun)
liu2023_precast,10.1038/s41467-023-35947-w,PRECAST (Nat Commun)
huang2022_bass,10.1186/s13059-022-02734-7,BASS (Genome Biology)
zhao2021_bayesspace,10.1038/s41587-021-00935-2,BayesSpace (Nature Biotechnology; journal version)
wolf2018_scanpy,10.1186/s13059-017-1382-0,Scanpy (Genome Biology)
hao2021_seurat_wnn,10.1016/j.cell.2021.04.048,Seurat v4 weighted nearest neighbor (Cell; WNN multimodal integration)
lun2016_pooling_norm,10.1186/s13059-016-0947-7,scran pooling normalization (Genome Biology)
mcCarthy2017_scater,10.1093/bioinformatics/btw777,Scater QC/vis (Bioinformatics)
palla2022_squidpy,10.1038/s41592-021-01358-2,Squidpy framework (Nat Methods)
korsunsky2019_harmony,10.1038/s41592-019-0619-0,Harmony integration (Nat Methods)
luecken2022_integration_benchmark,10.1038/s41592-021-01336-8,Single-cell integration benchmark (Nat Methods)
harris2020_numpy,10.1038/s41586-020-2649-2,NumPy (Nature)
virtanen2020_scipy,10.1038/s41592-019-0686-2,SciPy 1.0 (Nat Methods)
palla2022_spatial_components,10.1038/s41587-021-01182-1,Spatial components (Nat Biotechnol)
sun2020_spark,10.1038/s41592-019-0701-7,SPARK spatial expression patterns (Nat Methods)
hu2021_sparkx,10.1186/s13059-021-02404-0,SPARK-X (Genome Biology)
lloyd1982_kmeans,10.1109/TIT.1982.1056489,Least squares quantization (Lloyd algorithm; k-means)
sklearn_zenodo,10.5281/zenodo.17880109,scikit-learn software archive (Zenodo)
blondel2008_louvain,10.1088/1742-5468/2008/10/P10008,Louvain community detection
traag2019_leiden,10.1038/s41598-019-41695-z,Leiden algorithm (well-connected communities; Sci Rep)
lugli2017_itbcc_tumor_budding,10.1038/modpathol.2017.46,ITBCC 2016 tumor budding reporting consensus (Modern Pathology)
zhou2024_gb_benchmark,10.1186/s13059-024-03361-0,Genome Biology ST benchmark (clustering/alignment/integration)
yuan2024_spatial_clustering_benchmark,10.1038/s41592-024-02215-8,Nature Methods spatial clustering benchmark (Yuan et al.)
tian2019_sc_benchmark,10.1038/s41592-019-0425-8,Single-cell pipeline benchmark (Nat Methods)
cable2022_ctde,10.1038/s41592-022-01575-3,CTDE in spatial transcriptomics (Nat Methods)
maynard2021_dlpfc,10.1038/s41593-020-00787-0,Human DLPFC Visium dataset (Nat Neurosci)
hubert1985_ari,10.1007/BF01908075,Adjusted Rand index (cluster agreement)
benjamini1995_fdr,10.1111/j.2517-6161.1995.tb02031.x,Benjamini-Hochberg FDR
efron1979_bootstrap,10.1214/aos/1176344552,Bootstrap methods
you2024_nm_sst,10.1038/s41592-024-02325-3,Nature Methods sST technology benchmark
zhong2024_stamp,10.1038/s41592-024-02463-8,STAMP interpretable spatial DR (Nat Methods; Zhong et al.)
jin2021_cellchat,10.1038/s41467-021-21246-9,CellChat (Nat Commun; Jin et al.)
liu2022_drsc,10.1093/nar/gkac219,DR-SC (Nucleic Acids Research; journal version)
kleshchevnikov2022_cell2location,10.1038/s41587-021-01139-4,Cell2location maps fine-grained cell types in spatial transcriptomics (Nat Biotechnol)
saelens2019_traj,10.1038/s41587-019-0071-9,Trajectory inference benchmark (Nat Biotechnol)
pham2020_stlearn,10.1101/2020.05.31.125658,stLearn (bioRxiv)
svensson2018_spatialde,10.1038/nmeth.4636,SpatialDE: identification of spatially variable genes (Nat Methods)
dries2021_giotto,10.1186/s13059-021-02286-2,Giotto: toolbox for integrative analysis and visualization of spatial expression data (Genome Biology)
wilcoxon1945_ranking,10.2307/3001968,Wilcoxon ranking methods (original; Wilcoxon signed-rank / rank-sum family)
