dataset_id	sample_id	method_id	preprocessing_id	K	seed	top_marker_n	marker_coherence_median	n_spots	notes
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	4	11	10	2.18150802976754	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	4	11	20	1.96766543237808	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	4	11	50	1.65464013754026	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	6	11	10	2.02646047187155	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	6	11	20	1.81385566570932	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265211_CTC21P	BayesSpace	bayesspace_default	6	11	50	1.52224336834663	4690	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	4	11	10	1.6207207700043	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	4	11	20	1.46273570424474	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	4	11	50	1.25368349914557	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	6	11	10	1.84036277465179	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	6	11	20	1.61288833240181	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265212_CTC21M	BayesSpace	bayesspace_default	6	11	50	1.3681209419886	3884	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	4	11	10	1.25223780065702	3721	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	4	11	20	1.07084625784551	3721	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	4	11	50	0.864228528965964	3721	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	6	11	10	1.26527048775555	3721	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	6	11	20	1.10276543769411	3721	topn-sensitivity-bayesspace
GSE267401	GSM8265213_CTC17P	BayesSpace	bayesspace_default	6	11	50	0.902592494966135	3721	topn-sensitivity-bayesspace
