dataset_id	sample_id	method_id	preprocessing_id	K	seed	top_marker_n	marker_coherence_median	n_spots	notes
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	4	11	10	1.659177	3742	topn-sensitivity-stagate
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	4	11	20	1.479441	3742	topn-sensitivity-stagate
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	4	11	50	1.17346	3742	topn-sensitivity-stagate
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	6	11	10	1.410754	3742	topn-sensitivity-stagate
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	6	11	20	1.262819	3742	topn-sensitivity-stagate
GSE311294	GSM9322957_TR11_206	M5_stagate	log1p_hvg	6	11	50	1.058506	3742	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	4	11	10	0.952383	4732	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	4	11	20	0.848929	4732	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	4	11	50	0.705332	4732	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	6	11	10	0.999287	4732	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	6	11	20	0.849384	4732	topn-sensitivity-stagate
GSE311294	GSM9322958_TR11_16184	M5_stagate	log1p_hvg	6	11	50	0.70666	4732	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	4	11	10	0.716399	3673	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	4	11	20	0.613073	3673	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	4	11	50	0.424587	3673	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	6	11	10	0.937335	3673	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	6	11	20	0.806825	3673	topn-sensitivity-stagate
GSE311294	GSM9322959_TR11_18105	M5_stagate	log1p_hvg	6	11	50	0.614567	3673	topn-sensitivity-stagate
