dataset_id	sample_id	case_method_id	case_K	case_seeds	reference_seed	n_spots_total	n_stable_spots	n_unstable_spots	unstable_definition	feature_type	feature_id	feature_label	genes_used	mean_stable	mean_unstable	mean_delta_unstable_minus_stable	fraction_nonzero_stable	fraction_nonzero_unstable	fraction_nonzero_delta_unstable_minus_stable	median_stable	median_unstable	median_delta_unstable_minus_stable	median_delta_ci_lower	median_delta_ci_upper	pvalue_mannwhitney_two_sided	fdr_bh	notes
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	gene	FAP	FAP (log-normalized expression)	FAP	0.31542492027264635	0.2718675205262765	-0.04355739974636985	0.27841132520644907	0.1884904086738949	-0.08992091653255416	0.0	0.0	0.0	0.0	0.0	5.164998549482455e-06	1.1621246736335523e-05	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	gene	SPP1	SPP1 (log-normalized expression)	SPP1	0.5799018220545236	0.3032424719733194	-0.2766593500812042	0.37003539127015334	0.1743119266055046	-0.19572346466464874	0.0	0.0	0.0	0.0	0.0	8.505861351099193e-29	7.655275215989274e-28	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	gene	COL1A1	COL1A1 (log-normalized expression)	COL1A1	2.538937738260061	2.5822882129061524	0.04335047464609154	0.9079826976012584	0.908256880733945	0.00027418313268656735	2.5584335353475254	2.760316552647322	0.20188301729979674	0.0874717431173242	0.3076321562873495	0.008274476125396866	0.010638612161224541	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_CAF_FAP	CAF / FAP-associated (fibroblast activation) (mean log-normalized expression)	FAP,COL1A1,DCN,COL3A1,LUM	1.6777487000004414	1.6298608315499334	-0.047887868450507964	0.9917420369642155	0.9966638865721434	0.004921849607927964	1.6264858766890602	1.6048854983592284	-0.02160037832983175	-0.07348161748016506	0.05059289614833344	0.6670381345531078	0.6670381345531078	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_MY_SPP1	SPP1-myeloid–associated (mean log-normalized expression)	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	0.3091378816814523	0.2455795260049001	-0.06355835567655219	0.744789618560755	0.5988323603002502	-0.14595725826050476	0.26436168013115574	0.23590184522510824	-0.028459834906047504	-0.052834229130887825	-0.010623464726194179	1.394414315106431e-11	6.27486441797894e-11	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_TCELL	T-cell–associated (mean log-normalized expression)	TRAC,CD3D,CD3E,CD247	0.0973912246943902	0.12465321500445575	0.027261990310065556	0.30908375933936294	0.3010842368640534	-0.00799952247530955	0.0	0.0	0.0	0.0	0.0	0.07547166210936716	0.08490561987303806	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_EXCLUSION_TGFB_CXCL12	Immune-exclusion–adjacent (TGFβ / CXCL12 / myofibroblast barrier; exploratory) (mean log-normalized expression)	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	1.2305984192753143	1.1044420814919726	-0.12615633778334168	0.9783720015729453	0.9791492910758965	0.000777289502951195	1.2240139520526394	1.122124500631109	-0.1018894514215305	-0.16708793497630706	-0.050747323561381265	1.6652575516061127e-08	4.995772654818338e-08	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_CYTOTOX	Cytotoxic lymphocyte–associated (exploratory) (mean log-normalized expression)	NKG7,GNLY,GZMB,PRF1,IFNG	0.0812110413167493	0.10851630062606615	0.02730525930931685	0.3244199764058199	0.3302752293577982	0.005855252951978307	0.0	0.0	0.0	0.0	0.0	0.005790883868044507	0.00868632580206676	figS3-boundary-signatures
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11,23,67,101	11	3742	2543	1199	label differs vs reference in any non-reference seed after maximum-overlap alignment	signature	SIG_EXCLUSION_CONTRAST	CAF+SPP1-myeloid minus T-cell (contrast score)	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	1.889495356987504	1.750787142550378	-0.1387082144371259	0.9897758552890287	0.9958298582151793	0.006054002926150659	1.8019995471187815	1.717010951743836	-0.08498859537494563	-0.15218860146314855	-0.01111976759625274	0.0005014837997902676	0.0009026708396224816	figS3-boundary-signatures
